,French,Italian,Portuguese,Romanian,Spanish,Latin
French,0.0,3.2294117647058824,3.2294117647058824,3.0470588235294116,3.2294117647058824,3.5294117647058822
Italian,3.2294117647058824,0.0,3.388235294117647,2.911764705882353,2.6588235294117646,3.488235294117647
Portuguese,3.2294117647058824,3.388235294117647,0.0,3.6058823529411765,2.623529411764706,4.029411764705882
Romanian,3.0470588235294116,2.911764705882353,3.6058823529411765,0.0,3.2294117647058824,3.5176470588235293
Spanish,3.2294117647058824,2.6588235294117646,2.623529411764706,3.2294117647058824,0.0,3.7941176470588234
Latin,3.5294117647058822,3.488235294117647,4.029411764705882,3.5176470588235293,3.7941176470588234,0.0
